,name,latitude,longitude,delivery_review_number,location
70,Secret Story,12.9699370414,77.6391929761,0,"Indiranagar, Bangalore"
71,Mykos Craft Kitchen & Bar,12.8975904005,77.5997519668,0,"Bannerghatta Road, Bangalore"
72,Tuk Tuk Thai - Pure Veg Asian Fine Dine,12.9333935000,77.6223162000,140,"Koramangala 5th Block, Bangalore"
73,The Verandah Koramangala,12.9289770000,77.6274130000,0,"Koramangala 3rd Block, Bangalore"
74,Truffles,12.9335002373,77.6143047586,17.5K,"Koramangala 5th Block, Bangalore"
75,46 Ounces,12.9935692748,77.6609363262,97,"RMZ Infinity, Old Madras Road, Bangalore"
76,The Rameshwaram Cafe,,,0,"Indiranagar, Bangalore"
77,BLR Brewing Co,,,0,"Whitefield, Bangalore"
78,Smoor,12.9700788390,77.6413471252,"7,990","Indiranagar, Bangalore"
79,Sky Garden,12.9941293424,77.7038003504,57,"Whitefield, Bangalore"
80,Miso Sexy,,,28,"Indiranagar, Bangalore"
81,One8 Commune,12.9762151641,77.5991868467,0,"Lavelle Road, Bangalore"
82,Spice It - Ibis Hotel,13.0384657000,77.6131195000,0,"Hebbal, Bangalore"
83,Deck Of Brews,12.9326679519,77.6967126131,0,"Kadubeesanahalli, Bangalore"
84,The Creek - The Den Bengaluru,12.9875931546,77.7334105968,0,"The Den, Whitefield, Bangalore"
85,Theo Cafe,13.0544590237,77.6446212773,30,"Hennur, Bangalore"
86,Aurum Brew Works,12.9107040246,77.6856448129,"1,559","Sarjapur Road, Bangalore"
87,The Coffee Brewery,12.9356695063,77.6252309192,26,"Koramangala 4th Block, Bangalore"
88,The Caffeine Baar,12.9164301515,77.5929117948,533,"Jayanagar, Bangalore"
89,Raahi,12.9730843398,77.6024282724,258,"St. Marks Road, Bangalore"
90,Float Brewery,13.0224518135,77.6434177905,121,"Kalyan Nagar, Bangalore"
91,Harley's Fine Baking,12.9105133000,77.5892729000,441,"JP Nagar, Bangalore"
92,Bramble,,,4,"Jayanagar, Bangalore"
93,Hard Rock Cafe,,,304,"St. Marks Road, Bangalore"
94,Sashay-Taproom Kitchen,12.9759844000,77.7178765000,0,"Whitefield, Bangalore"
95,The Black Pearl,12.9393029575,77.6947304606,101,"Kadubeesanahalli, Bangalore"
96,Red Rhino,13.0247030988,77.7614996955,"6,681","Whitefield, Bangalore"
97,Byg Brewski Brewing Company,12.9129040336,77.6828858256,25.2K,"Sarjapur Road, Bangalore"
98,Nook,12.9373822387,77.6935620233,235,"Aloft Bengaluru Cessna Business Park, Kadubeesanahalli, Bangalore"
99,Taproom By Sherlock's,12.9060425035,77.5851880386,106,"JP Nagar, Bangalore"
100,Zoey's,12.8975398405,77.7176392078,"5,507","Sarjapur Road, Bangalore"
101,Moglu - The Edgy Veggie Restaurant,12.9752592510,77.6019362307,0,"St. Marks Road, Bangalore"
102,High Ultra Lounge,13.0108138581,77.5542504340,0,"Sheraton Grand Bangalore Hotel at Brigade Gateway, Bangalore"
103,Caraway Kitchen - Conrad Bengaluru,12.9753138563,77.6201335341,9,"Conrad Bengaluru, Ulsoor, Bangalore"
104,Fox In The Field,12.9898498000,77.7282498000,289,"Forum Shantiniketan Mall, Whitefield, Bangalore"
105,TYD,13.0543715000,77.6464136000,58,"Hennur, Bangalore"
106,Kana By Coffee Mechanics,13.0344380558,77.6383274320,66,"HBR Layout, Bangalore"
107,Kari Theory - Namma Bar & Kitchen,12.9749662308,77.6191230118,1,"Radisson Bangalore City Centre, Ulsoor, Bangalore"
108,The Coffee Brewery,13.0145550066,77.6490482297,313,"Kalyan Nagar, Bangalore"
109,Lavonne,12.9667243578,77.6368168741,908,"Indiranagar, Bangalore"
110,Cuppa Redefined,12.9120847515,77.6322710000,432,"HSR, Bangalore"
111,TBC- Sky Lounge,12.9228881450,77.6515445486,382,"HSR, Bangalore"
112,Butterfly Brew Bite & Fly,12.9079262077,77.5994167432,0,"JP Nagar, Bangalore"
113,Backstreet Brewery,12.9210334828,77.6958110425,416,"Sarjapur Road, Bangalore"
114,Gold Rush Brews,13.0193302470,77.7074762992,281,"KR Puram, Bangalore"
115,Masala Mandi,12.9107338000,77.6855745000,"3,428","Sarjapur Road, Bangalore"
116,JW Kitchen - JW Marriott Bengaluru,12.9719213000,77.5949239000,256,"JW Marriott Bengaluru, Lavelle Road, Bangalore"
117,Neo Kitchen,13.0416844000,77.6202864000,0,"Embassy Manyata Business Park,  Nagawara , Bangalore"
118,The Watering Hole,12.9055351825,77.6096042874,0,"BTM, Bangalore"
119,Orah Brew Garden,13.0984060783,77.5734735439,1,"Yelahanka, Bangalore"
120,Nuage,12.9698831322,77.6407241821,123,"Indiranagar, Bangalore"
121,Zodiac Bar & Kitchen,12.9557761565,77.7117544413,1,"Brookefield, Bangalore"
122,Hoot,12.9141491282,77.6783267409,499,"Sarjapur Road, Bangalore"
123,Buff Buffet Buff,12.9333773717,77.6153025404,37,"BluPetal Hotel, Koramangala, Bangalore"
124,Indian Biere House,12.9061270000,77.5956010000,1,"JP Nagar, Bangalore"
125,Boho,12.9658336991,77.7181290463,53,"Brookefields Mall, Brookefield, Bangalore"
126,The Scene - Craft Kitchen & Bar,12.9065768843,77.5802648346,0,"JP Nagar, Bangalore"
127,The French Treaty,13.1271551000,77.5668622000,0,"Yelahanka, Bangalore"
128,Bombay Curry House,13.0419460000,77.6201890000,0,"Embassy Manyata Business Park,  Nagawara , Bangalore"
129,Mitico Coffee Roasters,12.9332504214,77.6150856047,69,"Koramangala 5th Block, Bangalore"
130,Elysium By Stories,12.9155600000,77.6780200000,0,"Sarjapur Road, Bangalore"
131,Flo,12.9744251886,77.6068488881,28,"Church Street, Bangalore"
132,Nevermind - Bar & Social,12.9705225275,77.6459712535,120,"Indiranagar, Bangalore"
133,Oyster Bar & Kitchen,12.9118602409,77.6380728185,503,"HSR, Bangalore"
134,Umbaa Pub And Kitchen,12.9834195354,77.7528948015,0,"ITPL Main Road, Whitefield, Bangalore"
135,Jamming Goat 3.0,12.9062438000,77.5899888000,24,"JP Nagar, Bangalore"
136,24@43 - The Oterra,12.8499248882,77.6603760570,0,"The Oterra, Hosur Road, Bangalore"
137,Cafe Noir,12.9700235463,77.6362674933,205,"Indiranagar, Bangalore"
138,BANOFFEE,12.9148716724,77.6382515207,"5,850","HSR, Bangalore"
139,Paper And Pie,12.9810757000,77.6409584000,0,"Indiranagar, Bangalore"
140,Haldiram's Restaurant,12.9124017863,77.6393427530,"2,337","HSR, Bangalore"
141,Stories Bar & Kitchen,12.9135345272,77.5855638874,649,"JP Nagar, Bangalore"
142,Backyard Burgers And Grill,12.9749286000,77.6412137000,"1,188","Indiranagar, Bangalore"
143,Singapore Street,13.0222205428,77.6374012604,"1,024","Kammanahalli, Bangalore"
144,Mary Jane's Bakery & Deli,12.9142216768,77.6668867035,3,"Shubh Enclave, Bangalore"
145,Hitchki,12.9093648000,77.6872468000,408,"Sarjapur Road, Bangalore"
146,Mirage,12.9750900888,77.6024560883,0,"1 Sobha, Bangalore"
147,Cafe Gujjubhai,12.8906000000,77.7255000000,595,"Sarjapur Road, Bangalore"
148,Cafe Palmyra,12.9640945202,77.7396990359,0,"Palm Meadows Club, Whitefield, Bangalore"
149,La Utsav - Grand Mercure,12.9927172000,77.6605853000,29,"Grand Mercure, Bangalore"
150,Badmaash,12.9351899610,77.6137984917,6,"Koramangala 5th Block, Bangalore"
151,BumbleBee Brauhaus,12.9693126738,77.6414118335,68,"Indiranagar, Bangalore"
152,153 Biere Street,12.9631143276,77.7509458736,463,"Whitefield, Bangalore"
153,Plan B X Hangover,12.9120507644,77.6506781951,303,"HSR, Bangalore"
154,Sunburn Union,12.9451816759,77.6201355002,0,"Koramangala 6th Block, Bangalore"
155,Hashtag 88,12.9470783000,77.6992614000,0,"Marathahalli, Bangalore"
156,Gawky Goose,12.9542251115,77.6529131457,874,"Old Airport Road, Bangalore"
157,Candles  Brewhouse,13.0555390000,77.5940880000,15,"RMZ Azure, Bangalore"
158,Kaara By The Lake,12.9865810379,77.6194428653,0,"Ulsoor, Bangalore"
159,Brahma Brews,12.8933623000,77.5864543000,"1,783","JP Nagar, Bangalore"
160,Chalukya Samrat Cafe Since 1977,12.9750423556,77.6025714353,469,"1 Sobha, Bangalore"
161,Pijja,12.9699823213,77.6479129000,0,"Indiranagar, Bangalore"
162,The Fisherman's Wharf,12.9144504336,77.6662544534,"1,889","Sarjapur Road, Bangalore"
163,The Fixx,12.9323624204,77.6316603273,9,"Koramangala 4th Block, Bangalore"
164,Glen's Bakehouse,12.9792863582,77.6407111064,"9,666","Indiranagar, Bangalore"
165,Teatings,12.9129965172,77.6353245601,3,"HSR, Bangalore"
166,Brother Barley Brewing Company,12.9121425948,77.6368004456,115,"HSR, Bangalore"
167,Vapour Brewpub And Diner,12.9141674288,77.6772897318,376,"Sarjapur Road, Bangalore"
168,Omega IX Cocktail Bar And Global Kitchen,13.0599373908,77.5928168702,63,"Sahakara Nagar, Bangalore"
169,Shiro,12.9717761558,77.5964824855,876,"UB City, Bangalore"
170,Skyline Rooftop Bar & Kitchen,12.9794592000,77.6954060000,56,"Livin Hub Hotel, Bangalore"
171,JULIET,12.9732152227,77.6203762388,0,"1 MG Road Mall, MG Road, Bangalore"
172,Onesta,13.0214169733,77.6433483884,12.5K,"Kammanahalli, Bangalore"
173,Sstella Asian Kitchen And Bar,12.8759917000,77.5957899000,22,"Royal Meenakshi Mall, Bannerghatta Road, Bangalore"
174,Cocobolo,13.0345893047,77.5679558516,0,"New BEL Road, Bangalore"
175,Kathpal's,12.9070412513,77.6018967993,727,"Vega City, Bannerghatta Road, Bangalore"
176,Hitchki,12.9976864000,77.6971222000,511,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
177,Ambedo Kitchen|Taproom,12.9103174000,77.5980895000,0,"JP Nagar, Bangalore"
178,Gwalia,13.0023258779,77.7571266890,387,"ITPL Main Road, Whitefield, Bangalore"
179,The Rajputana,12.9643291124,77.7150002494,195,"Brookefield, Bangalore"
180,Rasta Cafe,12.7664597100,77.3327247798,0,"Mysore Road, Bangalore"
181,Tiamo - Conrad Bengaluru,12.9753122227,77.6201392338,0,"Conrad Bengaluru, Ulsoor, Bangalore"
182,White Garden,13.0237081195,77.6431488991,0,"Kalyan Nagar, Bangalore"
183,1522 - The Pub,12.9063281320,77.5759287179,"1,472","JP Nagar, Bangalore"
184,The Peak,13.0730459114,77.5952661037,0,"Sahakara Nagar, Bangalore"
185,Burma Burma - Indiranagar,12.9704637176,77.6447267085,"1,985","Indiranagar, Bangalore"
186,Mallika Biryani - Bileshivale Road,13.0559458935,77.6635238773,"6,347","Hennur, Bangalore"
187,Punjab Grill,12.9893534000,77.7283305000,"3,778","Forum Shantiniketan Mall, Whitefield, Bangalore"
188,The Pump House,12.9065503599,77.5822050869,398,"JP Nagar, Bangalore"
189,Pizza 4P's,12.9699600633,77.6360926130,0,"Indiranagar, Bangalore"
190,Pasta Street,12.9070510256,77.5988830626,"2,255","JP Nagar, Bangalore"
191,The Filter Coffee,12.9715200000,77.6470710000,"2,330","Indiranagar, Bangalore"
192,The Pallet,12.9910326215,77.7231739461,"2,622","Whitefield, Bangalore"
193,The Groot,13.0833666000,77.6435733000,29,"Bhartiya Mall of Bengaluru, Bangalore"
194,Flyover Drinkery,13.0492460720,77.5931897387,0,"Esteem Mall, Hebbal, Bangalore"
195,Geometry Gastropub,13.0368290000,77.5661050000,0,"New BEL Road, Bangalore"
196,The Persian Terrace - Sheraton Grand Bangalore Hotel at Brigade Gateway,13.0122551165,77.5546993688,0,"Sheraton Grand Bangalore Hotel at Brigade Gateway, Bangalore"
197,Burger King,12.9120448821,77.6381371915,45.4K,"HSR, Bangalore"
198,Burgermeister - Burgers Shakes & Wings,,,811,"HSR, Bangalore"
199,Tanjosh,12.9579653125,77.6383376867,2,"Domlur, Bangalore"
200,Flechazo,12.9753227621,77.6971823386,19,"Marathahalli, Bangalore"
201,Plan B,12.9351647999,77.6138021797,451,"Koramangala 7th Block, Bangalore"
202,Levels Pub & Kitchen,12.9060869492,77.5937905535,724,"JP Nagar, Bangalore"
203,"Torye Drink, Dine & Dance",12.9059600636,77.5121626440,0,"Rajarajeshwari Nagar, Bangalore"
204,Bologna,12.9717634138,77.6410128549,958,"Indiranagar, Bangalore"
205,The Soda Factory,12.9579754414,77.4877541140,220,"Nagarbhavi, Bangalore"
206,Khai Khai,12.9060787790,77.6442667097,10.1K,"HSR, Bangalore"
207,Cafe Reset Your Happy Place,12.9375842000,77.6244234000,131,"Koramangala 6th Block, Bangalore"
208,Sugar Factory Reloaded,12.9335579288,77.6142760822,4,"Koramangala 5th Block, Bangalore"
209,Geist Brewing Co.,13.0530116000,77.7594117000,198,"Old Madras Road, Bangalore"
210,Rajdhani,12.9976539838,77.6966753975,"4,566","Phoenix Marketcity Bangalore, Whitefield, Bangalore"
211,Inanna Tap Room,12.8740452146,77.6090510107,407,"Bannerghatta Road, Bangalore"
212,Dobaraa,12.9979038986,77.6964339986,272,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
213,Third Wave Coffee,12.9267304000,77.5612056000,967,"Banashankari, Bangalore"
214,Vyana Flavors Of Nature,12.9101223196,77.5953466158,106,"JP Nagar, Bangalore"
215,Toca,12.9347315049,77.6159211248,6,"Koramangala 5th Block, Bangalore"
216,Oziano,12.9417788265,77.7239454165,"7,847","Varthur Main Road, Whitefield, Bangalore"
217,Kapoor's Chaat Bhandaar,12.8924746053,77.7284421558,196,"Sarjapur Road, Bangalore"
218,Pinds Of Punjab,12.9387151000,77.6950334000,611,"Kadubeesanahalli, Bangalore"
219,Yellow Door - The Neighbourhood Kitchen,12.9336487000,77.6147617000,193,"Koramangala 5th Block, Bangalore"
220,Dock 66,12.9708343826,77.7248900637,1,"Whitefield, Bangalore"
221,Sindh Punjab,12.9606986547,77.7150016395,"1,316","Brookefield, Bangalore"
222,Yuki,12.9805363442,77.6408171380,144,"Indiranagar, Bangalore"
223,Gopaljee Cafe,12.9653888000,77.7141795000,"4,855","Brookefield, Bangalore"
224,Communiti,12.9725102949,77.6079190895,0,"Brigade Road, Bangalore"
225,A2B - Adyar Ananda Bhavan,12.9560515991,77.7215559036,32K,"Varthur Main Road, Whitefield, Bangalore"
226,Daysie - All Day Casual Bar,12.9721352000,77.6183869000,112,"MG Road, Bangalore"
227,Poco A Poco - Global Food & Music,12.9802537000,77.7511603000,20,"Whitefield, Bangalore"
228,Barrys Sky Lounge,13.0188216578,77.6548294249,43,"Kalyan Nagar, Bangalore"
229,Monsoon - The Park Bangalore,12.9740194062,77.6199903712,73,"The Park, MG Road, Bangalore"
230,Lifetree,12.9650074027,77.5982292742,43,"Richmond Road, Bangalore"
231,The Reservoire,12.9335528473,77.6222360507,799,"Koramangala 5th Block, Bangalore"
232,Brooks And Bonds Brewery,12.9341920092,77.6234534383,71,"Koramangala 5th Block, Bangalore"
233,Xochi Bar And Kitchen,12.9239730663,77.6732577011,416,"Bellandur, Bangalore"
234,Stegi - Modern Indian,12.9334789973,77.5833222270,107,"Jayanagar, Bangalore"
235,Full Circle,12.9087716477,77.5124495476,422,"Rajarajeshwari Nagar, Bangalore"
236,Down Town Tap Room,12.9731935000,77.6091250000,0,"Brigade Road, Bangalore"
237,Indigo XP,12.9327218692,77.6140925288,6,"Koramangala 5th Block, Bangalore"
238,House Of Commons,12.9121131829,77.6388778165,"1,296","HSR, Bangalore"
239,Chianti,12.8873950000,77.5633860000,322,"Forum Falcon City Mall, Kanakapura Roaad, Bangalore"
240,Grill Daddy,13.0224773000,77.6394482000,204,"Kalyan Nagar, Bangalore"
241,Mannheim Craft Brewery,12.9699093542,77.6096224147,0,"Garuda Mall, Magrath Road, Bangalore"
242,Babai Tiffins,12.8608530000,77.7765280000,"3,087","Sarjapur Road, Bangalore"
243,Kling Brewery,12.9750753899,77.6043379995,0,"Church Street, Bangalore"
244,Drink & Dine,12.9039185806,77.5139197335,278,"SG Arcade, Bangalore"
245,Maverick & Farmer Coffee,12.9353838000,77.6285339000,183,"Koramangala 4th Block, Bangalore"
246,2 Rabbits Bakes,12.9351936284,77.6176550906,0,"Koramangala 5th Block, Bangalore"
247,Thela Tapri By Sharma's Kitchen,12.9136063000,77.6040983000,"1,913","BTM, Bangalore"
248,Ishaara,12.9979038000,77.6964339000,148,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
249,Proxy,12.9909690000,77.6879753000,84,"Marathahalli, Bangalore"
250,Horizon,13.0122863000,77.5562248000,0,"World Trade Center, Bangalore"
251,Don't Tell Mama,12.9158759105,77.6347150281,0,"HSR, Bangalore"
252,Shokudo,12.9246266310,77.5858374685,158,"Jayanagar, Bangalore"
253,Kappa Chakka Kandhari,12.9406243825,77.6235007122,0,"Koramangala 6th Block, Bangalore"
254,AB's - Absolute Barbecues,12.9499444124,77.6989207417,"2,712","Marathahalli, Bangalore"
255,MoMo Cafe - Courtyard By Marriott,12.9273563268,77.6816324533,112,"Courtyard & Fairfield by Marriott, Bangalore"
256,Chai Point,12.9745869133,77.6066111773,"2,571","Church Street, Bangalore"
257,Gatsby,12.8858445900,77.5965903198,141,"Bannerghatta Road, Bangalore"
258,Hangover Brewery,12.9347373868,77.6135627925,4,"Koramangala 7th Block, Bangalore"
259,Gilly's Restobar,12.9039613926,77.6011776924,98,"Bannerghatta Road, Bangalore"
260,Celeb’s Restobar,12.9687138135,77.7354855371,0,"Brookefield, Bangalore"
261,The Irish House,12.9203483650,77.6842993498,173,"RMZ Ecoworld, Bellandur, Bangalore"
262,Dhaba - Estd 1986 Delhi,12.9705734961,77.6464047655,"2,816","Indiranagar, Bangalore"
263,21st Amendment Gastrobar,12.9659343313,77.6412891224,40,"Indiranagar, Bangalore"
264,Shelby Rooftop Taproom & Kitchen,12.9610665000,77.5093700000,6,"Nagarbhavi, Bangalore"
265,Shree Aahar,12.9010982000,77.6518768000,242,"HSR, Bangalore"
266,Essence Of Kolkata,12.9696557331,77.7494178291,224,"Whitefield, Bangalore"
267,CTR Shri Sagar - Since 1920,12.9980910894,77.5694723055,35.4K,"Malleshwaram, Bangalore"
268,Rasotsav,12.8885535341,77.5629320294,288,"Forum Falcon City Mall, Kanakapura Roaad, Bangalore"
269,Chowki Multicuisine Restaurant,12.9687904000,77.7354412000,461,"Whitefield, Bangalore"
270,Geist Brewing Co.,13.0837954191,77.6441779148,3,"Bhartiya Mall of Bengaluru, Bangalore"
271,Garden City Beer Collective,13.1416591763,77.5837695259,119,"Yelahanka, Bangalore"
272,Limelight - Royal Orchid Hotel,12.9572309000,77.6436085000,"2,772","Royal Orchid Hotel,  Old Airport Road, Bangalore"
273,Chaayos Chai+Snacks=Relax,13.0218791894,77.6397039369,"3,613","Kammanahalli, Bangalore"
274,Cable Car,12.9163566232,77.5856932998,54,"Jayanagar, Bangalore"
275,"Cha Cha Cha - Dimsum, Sushi, Stir Fry",12.9976768518,77.6964396983,167,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
276,You Mee,13.0113832411,77.5547097623,"2,791","Orion Mall, Malleshwaram, Bangalore"
277,Peep In Cafe,12.9134566138,77.6079058994,27,"BTM, Bangalore"
278,Isobel,12.9394914000,77.5846184000,14,"Jayanagar, Bangalore"
279,The Big Barbeque,12.9483508535,77.6989395171,"2,120","Marathahalli, Bangalore"
280,Public - The Rooftop Bar And Kitchen,12.8990494053,77.6057937741,257,"Bannerghatta Road, Bangalore"
281,Sidewalk Bar & Kitchen,12.9512265580,77.6994353691,"3,254","Marathahalli, Bangalore"
282,Dishkeyaun,12.9724908298,77.6068538239,0,"Forum Rex Walk, Bangalore"
283,One Night In Bangkok,12.9721965000,77.5961312000,0,"UB City, Bangalore"
284,Sly Granny,12.9706100889,77.6464547217,406,"Indiranagar, Bangalore"
285,Chili's American Grill & Bar,13.0113393000,77.5542396000,988,"Orion Mall, Malleshwaram, Bangalore"
286,The 13th Floor,12.9756261961,77.6056928560,234,"Barton Centre, Bangalore"
287,Spice Terrace - JW Marriott,12.9724037844,77.5949703902,0,"JW Marriott Bengaluru, Lavelle Road, Bangalore"
288,Secret Of Bangalore,12.9093304797,77.5274518132,252,"Rajarajeshwari Nagar, Bangalore"
289,Suku Japanese And Thai Restaurant,12.9040830000,77.6486820000,416,"HSR, Bangalore"
290,Bistro Claytopia,12.9257582744,77.6335043460,585,"Koramangala 1st Block, Bangalore"
291,Madurai Idly Shop,12.9941466570,77.7002836391,"8,194","ITPL Main Road, Whitefield, Bangalore"
292,Pincode 24 Bar & Bistro,13.0439770994,77.6008685365,0,"Hebbal, Bangalore"
293,The Spice Studio,12.9663205232,77.7140825987,560,"Brookefield, Bangalore"
294,Spettacolare,12.9796029000,77.6368187000,0,"Indiranagar, Bangalore"
295,Salt - Indian Restaurant Bar & Grill,12.9348380315,77.6115142554,"2,150","Nexus, Koramangala, Bangalore"
296,Tiger Tiger Brewhouse,12.9109041000,77.6850338000,98,"Sarjapur Road, Bangalore"
297,Foxtrot,12.9497091532,77.6992704347,484,"Marathahalli, Bangalore"
298,Reboot The Pub,12.9508110000,77.7000583000,12,"Marathahalli, Bangalore"
299,Litti Cafe,12.8998731000,77.6953686000,51,"Sarjapur Road, Bangalore"
300,Desi Dawat,12.9847980910,77.7488638000,47,"ITPL Main Road, Whitefield, Bangalore"
301,Bombay Adda,12.9361483701,77.6159466058,0,"Koramangala 7th Block, Bangalore"
302,Enne,12.9942263695,77.5712224469,21,"Malleshwaram, Bangalore"
303,Dyu Art Cafe,12.9372139546,77.6175029576,566,"Koramangala 8th Block, Bangalore"
304,You Me And Tea,12.9090617805,77.6516914423,997,"HSR, Bangalore"
305,Uncle Peter's Pancakes & Cafe,,,32,"Domlur, Bangalore"
306,Skyye,12.9715905787,77.5961539149,8,"UB City, Bangalore"
307,Fenny's Lounge And Kitchen,12.9351043478,77.6136657223,33,"Koramangala 7th Block, Bangalore"
308,Big Pitcher,12.9098128389,77.6885208115,"1,353","Sarjapur Road, Bangalore"
309,Altitude Kitchen & Bar,12.9886118010,77.5375100970,0,"Basaveshwara Nagar, Bangalore"
310,Aromas Of Biryani,12.9252890000,77.5858830000,"6,012","Jayanagar, Bangalore"
311,La Casa Brewery And Kitchen,12.9042089548,77.6757996466,"2,053","Sarjapur Road, Bangalore"
312,Barbeque Nation,12.8418001681,77.6469117031,"2,916","Electronic City, Bangalore"
313,IGNYT -The Beer Station,12.9076004000,77.5639731000,0,"Kumaraswamy Layout, Bangalore"
314,California Burrito,12.9105667685,77.6379269734,16.3K,"HSR, Bangalore"
315,Windmills,12.9824390922,77.7220809460,"1,429","Craftworks, Bangalore"
316,Barista Coffee,13.0504098734,77.6216042139,292,"Embassy Manyata Business Park,  Nagawara , Bangalore"
317,Jus' Trufs,13.0724956123,77.6038625836,"1,838","Jakkur, Bangalore"
318,Khmer Kitchen,12.9064366315,77.5865482539,"1,049","JP Nagar, Bangalore"
319,Zyng - Pan Asian Dining,12.9749943283,77.6200406626,25,"Ulsoor, Bangalore"
320,Café Siri,12.9647313166,77.7156382799,559,"Brookefield, Bangalore"
321,HoverPulse Cafe,12.9349161292,77.6295229420,42,"Koramangala 4th Block, Bangalore"
322,Sector 144,12.8419788000,77.6443473000,0,"Electronic City, Bangalore"
323,Karim's Delhi 6 - Since 1913,12.9721685464,77.6008943841,"1,357","St. Marks Road, Bangalore"
324,Sri Manjunatha Cafe,12.9309635063,77.6087039709,17,"BTM, Bangalore"
325,Lapis - The Oberoi,12.9729118324,77.6185138151,0,"The Oberoi, MG Road, Bangalore"
326,Aramana Oru Nadan Oonu Kada,12.8501703745,77.6571077853,17,"Electronic City, Bangalore"
327,Blink by Zoca,12.9965000000,77.6954000000,18,"Whitefield, Bangalore"
328,One Atria Cafe - Radisson Blu Atria,12.9804009793,77.5861811935,6,"Radisson Blu Atria, Bangalore"
329,Pinxx - Royal Orchid Central,12.9749126493,77.6154896244,246,"Royal Orchid Central, MG Road, Bangalore"
330,Great Room - Holiday Inn Express & Suites,13.0549370000,77.7628610000,450,"Hoskote, Bangalore"
331,Rajwadi,,,12.6K,"Brookefield, Bangalore"
332,Isar Ji Cafe,12.8639500000,77.6172000000,"1,139","Bommanahalli, Bangalore"
333,The Coffee Brewery,12.9792021576,77.6419330156,0,"Indiranagar, Bangalore"
334,CUR8 - Four Seasons Hotel,13.0194508302,77.5852426887,1,"Four Seasons Hotel, RT Nagar, Bangalore"
335,HumbleBean Coffee,12.9695128899,77.6358325119,99,"Indiranagar, Bangalore"
336,Monk's Bar & Social,12.9073473000,77.6011195000,8,"BTM, Bangalore"
337,Paragon Restaurant - Since 1939,12.9751190053,77.6025337049,"1,657","1 Sobha, Bangalore"
338,Haldiram's Sweets And Namkeen,12.9974624870,77.5471057728,50,"Basaveshwara Nagar, Bangalore"
339,Pizza Hut,13.0273051828,77.5934891403,"8,159","RT Nagar, Bangalore"
340,District 6 Pub Brewery & Kitchen,13.0123495233,77.5548442081,42,"Malleshwaram, Bangalore"
341,Shao,12.9497617598,77.6992969215,66,"Radisson Blu, Marathahalli, Bangalore"
342,Arbor Brewing Company,12.9702536354,77.6107478142,141,"Brigade Road, Bangalore"
343,Cafe 1617,13.0235288000,77.6398863000,19,"Kalyan Nagar, Bangalore"
344,Peepai,13.0556813441,77.5930023193,639,"Hebbal, Bangalore"
345,We: Neighborhood,12.9725410000,77.6082550000,0,"Brigade Road, Bangalore"
346,Down Town Diner,12.9731935000,77.6091250000,0,"Brigade Road, Bangalore"
347,Aroma's Hyderabad House,12.9130160000,77.6446840000,12.2K,"HSR, Bangalore"
348,The Spiceberry,12.9258916000,77.6691313000,48,"Bellandur, Bangalore"
349,Societe Rangoon,12.9065491033,77.5894585983,4,"JP Nagar, Bangalore"
350,Devaras Restaurant,13.0031024000,77.5535718000,0,"Rajajinagar, Bangalore"
351,The Aviary,13.3080035000,77.6957608000,0,"JW Marriott Bengaluru Prestige Golfshire Resort & Spa, International Airport, Bangalore"
352,Cafe Morish,12.9657464627,77.6038357615,309,"Richmond Road, Bangalore"
353,Babylonia - Global Food & Cocktails,12.9362414986,77.6157105714,26,"Koramangala 7th Block, Bangalore"
354,Seta,12.9482113308,77.6455897093,0,"Hilton Bangalore Embassy GolfLinks, Domlur, Bangalore"
355,Lord Of The Drinks,12.9958594905,77.6963967830,2,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
356,Rooftop at Raw,12.9336478000,77.6148833000,1,"Koramangala 5th Block, Bangalore"
357,Zed The Baker,12.9754327807,77.6029087231,531,"Church Street, Bangalore"
358,Blue Tokai Coffee Roasters,12.9338150104,77.6213712476,52,"Koramangala 5th Block, Bangalore"
359,Toscano,12.9566423458,77.7318200469,"3,435","Varthur Main Road, Whitefield, Bangalore"
360,Hakuna Matata,12.8940154171,77.5866649300,"4,924","JP Nagar, Bangalore"
361,Thelagram,12.9061451411,77.6009311518,58,"JP Nagar, Bangalore"
362,Conçu,12.9698699000,77.6379279000,314,"Indiranagar, Bangalore"
363,Sherlock's - Lounge & Kitchen,13.0928271217,77.5938076526,3,"Yelahanka, Bangalore"
364,Öz by Kebapci,12.9726327920,77.5957130153,0,"UB City, Bangalore"
365,Blurred,12.9341536758,77.6157663846,1,"Koramangala 5th Block, Bangalore"
366,Oota Bangalore,12.9824626151,77.7219773456,"1,112","Craftworks, Bangalore"
367,Kazé,12.9657190175,77.5967141613,0,"Lavelle Road, Bangalore"
368,LUPA,12.9757614152,77.6046183294,0,"MG Road, Bangalore"
369,Big Barrel BrewPub,12.9039398232,77.5082753599,139,"Rajarajeshwari Nagar, Bangalore"
370,Mainland China,12.9556843422,77.7252590284,"3,432","Whitefield, Bangalore"
371,Hopshaus,12.9674304134,77.7496396378,487,"Whitefield, Bangalore"
