,Restaurant_id,Name,Location,Price_for_two,Cuisines,Rating,Delivery_review_number,Price_for_one
56,56,154 Breakfast Club,"JP Nagar, Bangalore",1100,"Burger, Cafe, Sandwich, Street Food, Fast Food, Pancake, Asian, Desserts",4.5,647.0,550.0
57,57,Street 1522,"Sarjapur Road, Bangalore",2200,"North Indian, Asian, Seafood, Continental, Mughlai, Kebab, Street Food, Beverages",4.3,33.0,1100.0
58,58,The Market - The Ritz-Carlton,"The Ritz-Carlton, Bangalore",3000,"North Indian, European, Asian",4.1,60.0,1500.0
59,59,Daddy,"Indiranagar, Bangalore",1700,"Continental, North Indian, Asian, Italian, Chinese, European, Bar Food, Beverages",4.3,142.0,850.0
60,60,SLAY Coffee Bar,"Miraya Rose, Bangalore",600,"Cafe, Coffee, Beverages, Fast Food",4.2,1140.0,300.0
61,61,Phurr,"Jayanagar, Bangalore",2000,"North Indian, Continental",4.2,0.0,1000.0
62,62,The Kind Roastery & Brew Room,"JP Nagar, Bangalore",500,"Cafe, Coffee, Desserts, Asian, Pizza, Tea, Beverages, Pasta",4.5,57.0,250.0
63,63,The Square - Novotel,"Novotel Bengaluru, Marathahalli, Bangalore",3200,"Continental, North Indian, Japanese, Italian",4.3,0.0,1600.0
64,64,Tastique,"Nagawara, Bangalore",1500,"North Indian, Chinese, Beverages",4.4,12.0,750.0
65,65,Brik Oven,"Indiranagar, Bangalore",1200,"Pizza, Fast Food, Desserts, Beverages",4.4,2393.0,600.0
66,66,Magique,"Koramangala 6th Block, Bangalore",1700,"Asian, Modern Indian, Continental, Italian, North Indian, Sushi, Desserts, Beverages",3.8,9.0,850.0
67,67,Melange,"Radisson Blu, Marathahalli, Bangalore",3500,"North Indian, South Indian, Continental, Italian, Desserts",4.0,21.0,1750.0
68,68,Nusa,"Varthur Main Road, Whitefield, Bangalore",1500,"Continental, Chinese",3.7,0.0,750.0
69,69,Restaurant Chef Pillai,"Brigade Road, Bangalore",1000,Kerala,4.4,433.0,500.0
70,70,Secret Story,"Indiranagar, Bangalore",1500,"Continental, Asian, North Indian, Fast Food, Desserts, Beverages",4.0,0.0,750.0
71,71,Mykos Craft Kitchen & Bar,"Bannerghatta Road, Bangalore",1600,"Continental, Greek, Asian, Mediterranean, North Indian",4.3,0.0,800.0
72,72,Tuk Tuk Thai - Pure Veg Asian Fine Dine,"Koramangala 5th Block, Bangalore",2000,"Thai, Asian, Chinese, Desserts, Beverages",4.8,140.0,1000.0
73,73,The Verandah Koramangala,"Koramangala 3rd Block, Bangalore",1500,"South Indian, Asian, Salad, Healthy Food, Chinese, Desserts",3.3,0.0,750.0
74,74,Truffles,"Koramangala 5th Block, Bangalore",1100,"Burger, Italian, Desserts, Continental, American, Fast Food, Beverages",4.6,17500.0,550.0
75,75,46 Ounces,"RMZ Infinity, Old Madras Road, Bangalore",1200,"North Indian, Asian, Italian, Pizza, Desserts",4.4,97.0,600.0
76,76,The Rameshwaram Cafe,"Indiranagar, Bangalore",200,"South Indian, Beverages",4.2,0.0,100.0
77,77,BLR Brewing Co,"Whitefield, Bangalore",1200,"North Indian, Continental, Chinese, Italian, BBQ, Bar Food, Desserts",0.0,0.0,600.0
78,78,Smoor,"Indiranagar, Bangalore",600,"Bakery, Desserts, Beverages",4.5,7990.0,300.0
79,79,Sky Garden,"Whitefield, Bangalore",2000,"Continental, North Indian, Pizza, Asian, Pasta, Chinese, Desserts, Beverages",4.1,57.0,1000.0
80,80,Miso Sexy,"Indiranagar, Bangalore",1800,"Japanese, Chinese, Sushi, Beverages",4.4,28.0,900.0
81,81,One8 Commune,"Lavelle Road, Bangalore",3000,"North Indian, Chinese, Pasta, Sushi, Continental, Desserts, Beverages",3.9,0.0,1500.0
82,82,Spice It - Ibis Hotel,"Hebbal, Bangalore",1800,"North Indian, Chinese, Italian, Continental, Pasta, Desserts, Beverages",3.7,0.0,900.0
83,83,Deck Of Brews,"Kadubeesanahalli, Bangalore",1500,"Continental, North Indian, Italian, Asian, Desserts, Pizza, Pasta, South Indian",4.3,0.0,750.0
84,84,The Creek - The Den Bengaluru,"The Den, Whitefield, Bangalore",3000,"North Indian, South Indian, Asian, Pizza, Desserts",4.2,0.0,1500.0
85,85,Theo Cafe,"Hennur, Bangalore",1000,"Continental, Asian, Coffee, Japanese, Italian, Desserts, Beverages",4.3,30.0,500.0
86,86,Aurum Brew Works,"Sarjapur Road, Bangalore",1500,"North Indian, Mughlai, Continental, Asian, Beverages, Desserts",4.3,1559.0,750.0
87,87,The Coffee Brewery,"Koramangala 4th Block, Bangalore",800,"Cafe, Coffee, Sandwich, Fast Food, Desserts, Tea, Beverages",3.7,26.0,400.0
88,88,The Caffeine Baar,"Jayanagar, Bangalore",950,"Cafe, Italian, Continental, Bakery, Desserts, Beverages",4.3,533.0,475.0
89,89,Raahi,"St. Marks Road, Bangalore",2000,"North Indian, Pasta, Pizza, Desserts, Beverages",4.2,258.0,1000.0
90,90,Float Brewery,"Kalyan Nagar, Bangalore",1500,"Bar Food, Continental, Italian, Asian, North Indian, Desserts, Pizza, Beverages",4.4,121.0,750.0
91,91,Harley's Fine Baking,"JP Nagar, Bangalore",600,"Bakery, Sandwich",4.0,441.0,300.0
92,92,Bramble,"Jayanagar, Bangalore",1800,"Continental, Asian, North Indian, Italian, Bar Food, Beverages",4.5,4.0,900.0
93,93,Hard Rock Cafe,"St. Marks Road, Bangalore",2500,"American, Continental, Burger, Sandwich, Fast Food, Desserts, Beverages",4.6,304.0,1250.0
94,94,Sashay-Taproom Kitchen,"Whitefield, Bangalore",2000,"Asian, Modern Indian, Continental, Sushi, North Indian, Chinese, Desserts, Beverages",4.8,0.0,1000.0
95,95,The Black Pearl,"Kadubeesanahalli, Bangalore",2100,"North Indian, Chinese, Fast Food, Street Food, Mughlai, Desserts, Beverages",4.2,101.0,1050.0
96,96,Red Rhino,"Whitefield, Bangalore",2000,"Continental, North Indian, Asian, Oriental, Mediterranean, Mangalorean, Beverages, Desserts",4.4,6681.0,1000.0
97,97,Byg Brewski Brewing Company,"Sarjapur Road, Bangalore",2000,"Continental, North Indian, Asian, Fast Food, Pizza, Pasta, Burger, Desserts",4.6,25200.0,1000.0
98,98,Nook,"Aloft Bengaluru Cessna Business Park, Kadubeesanahalli, Bangalore",1200,"North Indian, Continental, Asian, Fast Food, South Indian, Desserts, Waffle",4.0,235.0,600.0
99,99,Taproom By Sherlock's,"JP Nagar, Bangalore",1800,"North Indian, Oriental, Continental, Biryani, Pizza, Pasta, Desserts, Beverages",4.3,106.0,900.0
100,100,Zoey's,"Sarjapur Road, Bangalore",700,"Burger, Beverages, Continental, Pasta, Chinese, Sandwich, Cafe, Desserts",4.2,5507.0,350.0
101,101,Moglu - The Edgy Veggie Restaurant,"St. Marks Road, Bangalore",1000,"American, Continental, Desserts, Beverages",0.0,0.0,500.0
102,102,High Ultra Lounge,"Sheraton Grand Bangalore Hotel at Brigade Gateway, Bangalore",3600,"North Indian, Continental, Finger Food, Desserts",4.2,0.0,1800.0
103,103,Caraway Kitchen - Conrad Bengaluru,"Conrad Bengaluru, Ulsoor, Bangalore",3900,"Asian, Continental, North Indian, Italian, Fast Food",4.1,9.0,1950.0
104,104,Fox In The Field,"Forum Shantiniketan Mall, Whitefield, Bangalore",2000,"Modern Indian, Continental, North Indian, Pizza, American, Italian, Desserts, Beverages",4.2,289.0,1000.0
105,105,TYD,"Hennur, Bangalore",1900,"Asian, European, Sushi, Continental, Italian, Mexican, Beverages, Desserts",4.4,58.0,950.0
106,106,Kana By Coffee Mechanics,"HBR Layout, Bangalore",1000,"Cafe, Coffee, Pizza, Continental, Desserts, Beverages, Burger, Pasta",4.3,66.0,500.0
107,107,Kari Theory - Namma Bar & Kitchen,"Radisson Bangalore City Centre, Ulsoor, Bangalore",3500,"Chinese, North Indian, Biryani, Asian, Fast Food, Beverages",4.1,1.0,1750.0
108,108,The Coffee Brewery,"Kalyan Nagar, Bangalore",800,"Cafe, Coffee, Tea, Beverages, Sandwich, Fast Food, Desserts",3.3,313.0,400.0
109,109,Lavonne,"Indiranagar, Bangalore",1300,"Cafe, Tea, Beverages, Bakery, Continental, Pasta, Salad, Fast Food",4.5,908.0,650.0
110,110,Cuppa Redefined,"HSR, Bangalore",700,"Cafe, American, Burger, Healthy Food, Salad, Fast Food, Desserts, Beverages",4.3,432.0,350.0
111,111,TBC- Sky Lounge,"HSR, Bangalore",1500,"Continental, Italian, Asian, North Indian, South Indian, Biryani, Desserts, Beverages",4.5,382.0,750.0
112,112,Butterfly Brew Bite & Fly,"JP Nagar, Bangalore",1500,"North Indian, Continental, Pizza, Italian, Asian, Desserts, Beverages",4.2,0.0,750.0
113,113,Backstreet Brewery,"Sarjapur Road, Bangalore",1800,"Italian, Bar Food, Pizza, North Indian, Asian, Desserts, Beverages",4.4,416.0,900.0
114,114,Gold Rush Brews,"KR Puram, Bangalore",1900,"North Indian, Italian, Asian, Continental, American, South Indian, Beverages, Desserts",4.4,281.0,950.0
115,115,Masala Mandi,"Sarjapur Road, Bangalore",1800,"North Indian, BBQ, Biryani, Desserts, Beverages, Mughlai",4.3,3428.0,900.0
116,116,JW Kitchen - JW Marriott Bengaluru,"JW Marriott Bengaluru, Lavelle Road, Bangalore",5000,"North Indian, Continental, Mughlai, Beverages, Desserts",4.2,256.0,2500.0
117,117,Neo Kitchen,"Embassy Manyata Business Park,  Nagawara , Bangalore",3100,"Asian, Continental, Italian, South Indian, North Indian, Biryani, Desserts, Beverages",4.2,0.0,1550.0
118,118,The Watering Hole,"BTM, Bangalore",1400,"Continental, North Indian, European, Asian, Desserts, Beverages",0.0,0.0,700.0
119,119,Orah Brew Garden,"Yelahanka, Bangalore",1300,"Asian, Continental, Desserts, European, Modern Indian",4.2,1.0,650.0
120,120,Nuage,"Indiranagar, Bangalore",950,"Burger, Bakery, Continental",4.5,123.0,475.0
121,121,Zodiac Bar & Kitchen,"Brookefield, Bangalore",1800,"Continental, North Indian, Pizza, Italian, Chinese, Fast Food, Biryani, Desserts",4.3,1.0,900.0
122,122,Hoot,"Sarjapur Road, Bangalore",2000,"Continental, Italian, North Indian, Beverages",4.2,499.0,1000.0
123,123,Buff Buffet Buff,"BluPetal Hotel, Koramangala, Bangalore",1800,"South Indian, Salad, Bar Food, North Indian, Desserts, Beverages",4.4,37.0,900.0
124,124,Indian Biere House,"JP Nagar, Bangalore",2500,"Continental, Mediterranean, North Indian, Asian, Bar Food, Italian, Desserts, Beverages",4.4,1.0,1250.0
125,125,Boho,"Brookefields Mall, Brookefield, Bangalore",2500,"Bar Food, North Indian, Continental, Asian, Desserts, Beverages",4.1,53.0,1250.0
126,126,The Scene - Craft Kitchen & Bar,"JP Nagar, Bangalore",1500,"North Indian, Continental, Asian, Desserts, Beverages",4.2,0.0,750.0
127,127,The French Treaty,"Yelahanka, Bangalore",1000,"Cafe, Coffee, French, Desserts, Beverages",3.5,0.0,500.0
128,128,Bombay Curry House,"Embassy Manyata Business Park,  Nagawara , Bangalore",1300,"South Indian, North Indian, Chinese, Bar Food, Salad, Biryani, Desserts, Beverages",4.5,0.0,650.0
129,129,Mitico Coffee Roasters,"Koramangala 5th Block, Bangalore",900,"Cafe, Continental, Italian, Burger, North Indian, Salad, Shake, Beverages",4.4,69.0,450.0
130,130,Elysium By Stories,"Sarjapur Road, Bangalore",1600,"South Indian, North Indian, Fast Food, Oriental",4.2,0.0,800.0
131,131,Flo,"Church Street, Bangalore",1900,"Asian, Thai, Continental, Finger Food, Sushi, Desserts, Beverages",4.2,28.0,950.0
132,132,Nevermind - Bar & Social,"Indiranagar, Bangalore",1800,"Bar Food, North Indian, Chinese, Continental, Burger",4.1,120.0,900.0
133,133,Oyster Bar & Kitchen,"HSR, Bangalore",1600,"Continental, Bar Food, Chinese, North Indian, Beverages, Desserts",4.5,503.0,800.0
134,134,Umbaa Pub And Kitchen,"ITPL Main Road, Whitefield, Bangalore",1500,"Bar Food, North Indian, Mughlai, Continental, Beverages",4.5,0.0,750.0
135,135,Jamming Goat 3.0,"JP Nagar, Bangalore",1500,"North Indian, Asian, Desserts",4.3,24.0,750.0
136,136,24@43 - The Oterra,"The Oterra, Hosur Road, Bangalore",3700,"North Indian, Asian, Continental, Fast Food, Biryani, Desserts",4.1,0.0,1850.0
137,137,Cafe Noir,"Indiranagar, Bangalore",2000,"Cafe, Continental, French, Italian, Pizza, Coffee, Desserts, Ice Cream",3.9,205.0,1000.0
138,138,BANOFFEE,"HSR, Bangalore",1600,"Cafe, Continental, Asian, Mexican, Italian, European, Beverages, Desserts",4.1,5850.0,800.0
139,139,Paper And Pie,"Indiranagar, Bangalore",1200,"Cafe, Italian, Continental, Desserts, Beverages, Shake",3.5,0.0,600.0
140,140,Haldiram's Restaurant,"HSR, Bangalore",400,"Mithai, South Indian, North Indian, Sandwich, Street Food, Biryani, Beverages",4.1,2337.0,200.0
141,141,Stories Bar & Kitchen,"JP Nagar, Bangalore",1800,"Bar Food, Chinese, North Indian, Italian, Pizza, Seafood, Desserts",4.3,649.0,900.0
142,142,Backyard Burgers And Grill,"Indiranagar, Bangalore",400,"Burger, American, Wraps, Fast Food, Salad",4.1,1188.0,200.0
143,143,Singapore Street,"Kammanahalli, Bangalore",1400,"Singaporean, Thai, Sushi, Asian, Korean, Indonesian, Desserts, Beverages",4.6,1024.0,700.0
144,144,Mary Jane's Bakery & Deli,"Shubh Enclave, Bangalore",450,"Bakery, Desserts, Sandwich, Beverages",3.4,3.0,225.0
145,145,Hitchki,"Sarjapur Road, Bangalore",1900,"Bar Food, Continental, North Indian, Asian, Biryani, Desserts",4.2,408.0,950.0
146,146,Mirage,"1 Sobha, Bangalore",3000,"Asian, Chinese, Thai, Beverages, Desserts",4.1,0.0,1500.0
147,147,Cafe Gujjubhai,"Sarjapur Road, Bangalore",300,"North Indian, Gujarati, Street Food, Fast Food",3.5,595.0,150.0
148,148,Cafe Palmyra,"Palm Meadows Club, Whitefield, Bangalore",2500,"Chinese, North Indian, Continental, Oriental, Sichuan, South Indian, Desserts",4.2,0.0,1250.0
149,149,La Utsav - Grand Mercure,"Grand Mercure, Bangalore",2500,"North Indian, South Indian, Continental, Oriental, Italian, Desserts, Beverages, Shake",4.1,29.0,1250.0
150,150,Badmaash,"Koramangala 5th Block, Bangalore",2500,"Bar Food, North Indian, Italian, Mughlai, Desserts",4.2,6.0,1250.0
151,151,BumbleBee Brauhaus,"Indiranagar, Bangalore",2600,"Thai, Chinese, South Indian, Continental, North Indian, Italian, Desserts, Beverages",3.6,68.0,1300.0
152,152,153 Biere Street,"Whitefield, Bangalore",2000,"Asian, Continental, North Indian, Malaysian, Italian, Desserts",4.2,463.0,1000.0
153,153,Plan B X Hangover,"HSR, Bangalore",2000,"American, Burger, Pizza, Continental, Bar Food, Desserts, Beverages",4.1,303.0,1000.0
154,154,Sunburn Union,"Koramangala 6th Block, Bangalore",2000,"Bar Food, South Indian, North Indian",3.5,0.0,1000.0
155,155,Hashtag 88,"Marathahalli, Bangalore",1400,"Asian, Chinese, Salad, North Indian, Fast Food, Biryani, Desserts",4.3,0.0,700.0
156,156,Gawky Goose,"Old Airport Road, Bangalore",2200,"Italian, Biryani, North Indian, Fast Food, Seafood, Asian, Desserts, Beverages",4.4,874.0,1100.0
157,157,Candles  Brewhouse,"RMZ Azure, Bangalore",2500,"Italian, Continental, American, Pizza, North Indian",4.3,15.0,1250.0
158,158,Kaara By The Lake,"Ulsoor, Bangalore",850,"Italian, Desserts, Beverages",4.1,0.0,425.0
159,159,Brahma Brews,"JP Nagar, Bangalore",2500,"Asian, North Indian, South Indian",4.5,1783.0,1250.0
160,160,Chalukya Samrat Cafe Since 1977,"1 Sobha, Bangalore",1000,"South Indian, North Indian, Chinese, Street Food, Beverages",4.4,469.0,500.0
161,161,Pijja,"Indiranagar, Bangalore",500,"Italian, Pizza",0.0,0.0,250.0
162,162,The Fisherman's Wharf,"Sarjapur Road, Bangalore",1900,"North Indian, Chinese, Seafood, Goan, Finger Food, Continental, Desserts, Beverages",4.1,1889.0,950.0
163,163,The Fixx,"Koramangala 4th Block, Bangalore",1800,"North Indian, Continental, Chinese, Seafood, Pasta, Pizza, Biryani, Beverages",4.1,9.0,900.0
164,164,Glen's Bakehouse,"Indiranagar, Bangalore",800,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts",3.9,9666.0,400.0
165,165,Teatings,"HSR, Bangalore",1000,"Continental, Pasta, Sandwich, Salad, Tea, Beverages, Desserts",0.0,3.0,500.0
166,166,Brother Barley Brewing Company,"HSR, Bangalore",1800,"Finger Food, Continental, North Indian, Chinese, Italian, Beverages, Desserts",4.2,115.0,900.0
167,167,Vapour Brewpub And Diner,"Sarjapur Road, Bangalore",2200,"North Indian, Continental, Italian, European, Biryani, Salad, Desserts, Beverages",4.3,376.0,1100.0
168,168,Omega IX Cocktail Bar And Global Kitchen,"Sahakara Nagar, Bangalore",1800,"North Indian, Continental, Asian, Sushi, Italian, Desserts, Beverages",4.5,63.0,900.0
169,169,Shiro,"UB City, Bangalore",3500,"Japanese, Sushi, Asian, Desserts, Thai, Korean, Cantonese, Vietnamese",4.1,876.0,1750.0
170,170,Skyline Rooftop Bar & Kitchen,"Livin Hub Hotel, Bangalore",1800,"Chinese, Italian, Fast Food, North Indian, Kebab, Biryani, Continental, Beverages",4.4,56.0,900.0
171,171,JULIET,"1 MG Road Mall, MG Road, Bangalore",2500,"Asian, Continental, Sushi, Thai, Japanese, Desserts",4.0,0.0,1250.0
172,172,Onesta,"Kammanahalli, Bangalore",1000,"Pizza, Pasta, Sandwich, Fast Food, Desserts, Beverages",4.2,12500.0,500.0
173,173,Sstella Asian Kitchen And Bar,"Royal Meenakshi Mall, Bannerghatta Road, Bangalore",1000,"Asian, Chinese, Desserts, Beverages",4.5,22.0,500.0
174,174,Cocobolo,"New BEL Road, Bangalore",1000,"Bar Food, North Indian, Continental, Italian, Chinese, BBQ, Desserts, Beverages",4.3,0.0,500.0
175,175,Kathpal's,"Vega City, Bannerghatta Road, Bangalore",1000,"North Indian, Chinese, Biryani, Street Food, Desserts, Beverages",4.2,727.0,500.0
176,176,Hitchki,"Phoenix Marketcity Bangalore, Whitefield, Bangalore",2000,"North Indian, Chinese, Continental, Biryani, Finger Food, Bar Food, Desserts, Beverages",4.4,511.0,1000.0
177,177,Ambedo Kitchen|Taproom,"JP Nagar, Bangalore",1500,"Continental, Asian, North Indian, Italian, Pizza, Sushi",4.5,0.0,750.0
178,178,Gwalia,"ITPL Main Road, Whitefield, Bangalore",250,"North Indian, Street Food, Ice Cream, Mithai, Desserts",4.0,387.0,125.0
179,179,The Rajputana,"Brookefield, Bangalore",1000,"North Indian, Gujarati, Desserts, Mithai, Beverages",3.2,195.0,500.0
180,180,Rasta Cafe,"Mysore Road, Bangalore",1200,"Cafe, Continental, Italian, Beverages, Desserts",3.2,0.0,600.0
